"","Month","Day","Year","location","route","operator","aboard","fatalities","summary","deathRate"
"398","November","18","2016","Nevada","Elko- Salt Lake City","American Medflight Inc.",4,4,"The medical transport plane crashed into the Barrik Gold Corp. parking lot near a busy casino, motel, grocery store and senior housing complex shortly after taking off. A heart patient and three crew members were killed.",100
"399","November","28","2016","Colombia","Santa Cruz, Bolivia - Medellin,Colombia","LAMIA Bolivia",77,71,"The crew of the chartered passenger jet declared an emergency as it approached La Union, reporting they ran out of fuel and had an electrical failure. Soon after the plane impacted mountainous terrain approximately 22 miles south of Medellin. Members of the Brazilian Chapecoense soccer team were among those killed. Among the errors made which caused the crash were the decisions to let the plane take off without enough fuel to make the flight safely and then to not stop midway to refuel. The pilot also did not report the plane's emergency until it was too late.",92.21
"400","December","03","2016","Indonesia","Pangkal Pinang - Batam Island","Indonesian Police",13,13,"The Indonesian police aircraft crashed in the waters off Kabupaten Lingga, Riau Islands during a 1.5 hour scheduled flight.",100
"401","December","07","2016","Pakistan","Chitral - Islamabad","Pakistan International Airlines",48,48,"While en route, the crew made a mayday call reporting they lost one of two engines. Contact was lost and the plane soon after crashed into mountains near Abbottabad and Havelian.",100
"402","December","18","2016","Indonesia","Timika - Warmera","Indonesian Air Force",13,13,"The military plane crashed into mountainous terrain in an eastern section of the country while attempting to land at Warmera.",100
"403","December","20","2016","Colombia","Puerto Carreno - Bogota","Aerosucre Colombia",6,5,"After taking off on runway 24, the cargo jet failed to lift off properly, just cleared the perimeter fence, became airborne, turned to the right, lost altitude and crashed in an open field.",83.33
"404","December","25","2016","Russia","Chkalovsky AB -Ader - Latakia, Syria","Russian Air Force",92,92,"The plane, carrying the Alexandrov Emsemble choir, reporters and service men, made a climbout out of Ader, turned back towards the coastline and crashed into the waters of the Black Sea about a mile offshore.",100
"405","January","16","2017","Kyrgyzstan","Hong Kong - Bishkek - Istanbul","My Cargo Airlines (ACT Airlines)",4,4,"While approaching Bishkek for a fuel stop, the cargo plane crashed past the end of the runway destroying 23 houses. The weather at the time of the accident was freezing fog.",100
"406","February","21","2017","Australia","Melbournen - King Island","Australian Corporate Jet Centres PTY. LTD",5,5,"The charter flight was just seconds into it's flight when it was observed flying low, before it nose diving into a building at a shopping center and bursting into flames. The pilot made two mayday calls before the aircraft crashed. It is reported the plane suffered engine failure.",100
"407","March","10","2017","Turkey","Istanbul - Bozuyuk","Swan Aviation",7,7,"The helicopter crashed on a highway after hitting a TV tower, six minutes after taking off. The helicopter was carrying an executive of the Eczacibasi group of companies, four of his Russian guests and two pilots.",100
"408","March","27","2017","Zimbabwe","Beira, Mozambique - Harare, Zimbabwe","ETA Air Charter",6,6,"While en route the air transport plane collided with Mount Vumba in poor weather conditions.",100
"409","May","05","2017","West Virginia","Louisville - Charleston","Air Cargo Carriers",2,2,"The cargo plane was destroyed when it crashed while attempting to land on runway 05 at Charleston Yeager Airport. After touching down hard, the aircraft when off the left side of the runway and fell into a wooded ravine.",100
"410","May","15","2017","New Jersey","Philadelphia, PA - Teteboro, NJ","A&C Big Sky Aviation",2,2,"While on approach to Teleboro Airport, the aircraft impacted the ground, 3,200 ft short of runway 01, crashing into industrial buildings and catching fire.",100
"411","May","27","2017","Nepal","?","Summit Air",3,2,"The cargo plane crashed short of the runway threshhold whille attempting to land at Lukla-Tenzing Airport, coming to rest on a steep wooded area close to the airport perimeter fence. Both the pilot and copilot were killed.",66.67
"412","June","07","2017","Myanmar","Myeik - Yangon","Myanmar Air Force",122,122,"The transport plane carrying military personnel and their familiies, left Myeik for a return trip to Yangon. The aircraft was at FL 180 when contact by air traffic control was lost 29 minutes into the flight. The plane crashed about 20 miles west of Dawei in the Andaman Sea.",100
"413","June","28","2017","South Australia","Suttontown - Adelaide","Angel Flight",3,3,"The medical flight crashed 3 km south of Mount Gambier Airport in heavy fog. The plane had just taken off and was bound for Adelaide with a patient and her daughter. Angel Flight is used to help people in rural areas access medical treatment.",100
"414","July","10","2017","Mississipi","Cherry Point, NC - El Centro, CA","USMC",16,16,"While en route, the Marine Corps transport suffered an explosion and structural failure at 20,000 ft., spiraled down and crashed into a soybean field.",100
"415","October","14","2017","Ivory Coast","Burkina Faso - Abidjan","Valan International Cargo Charter",10,4,"The cargo plane, carrying French military cargo, crashed in shallow waters along the coastline while on final approach to Abidjan-Felix Houphouet Boigny Airport. The plane was carrying 6 Moldovan crew members and 4 French army personnel.",40
"416","November","15","2017","Tanzania","Arusha - Serengeti","Costal Aviation",11,11,"The chartered Cessna was flying tourists from Kilimanjaro to Arusha. The plane circled for 30 minuets due to poor weather conditions before crashing.",100
